fid,model,data_type,score_func,score
4,AdaBoost,test,recall,1.0
4,AdaBoost,train,f1,0.8468214378828888
4,AdaBoost,validation,f1,0.846845912520418
4,AdaBoost,test,f1,0.8471926304930457
4,AdaBoost,train,roc_auc,0.5
4,AdaBoost,validation,roc_auc,0.5
4,AdaBoost,test,roc_auc,0.5
5,Logistic,train,accuracy,0.7343367850406586
5,Logistic,validation,accuracy,0.7343735947477291
5,Logistic,test,accuracy,0.7348952243906827
5,Logistic,train,precision,0.7343367850406586
5,Logistic,validation,precision,0.7343735947477291
5,Logistic,test,precision,0.7348952243906827
5,Logistic,train,recall,1.0
5,Logistic,validation,recall,1.0
5,Logistic,test,recall,1.0
5,Logistic,train,f1,0.8468214378828888
5,Logistic,validation,f1,0.846845912520418
5,Logistic,test,f1,0.8471926304930457
5,Logistic,train,roc_auc,0.5
5,Logistic,validation,roc_auc,0.5
5,Logistic,test,roc_auc,0.5
5,SVC,train,accuracy,0.7343367850406586
5,SVC,validation,accuracy,0.7343735947477291
5,SVC,test,accuracy,0.7348952243906827
5,SVC,train,precision,0.7343367850406586
5,SVC,validation,precision,0.7343735947477291
5,SVC,test,precision,0.7348952243906827
5,SVC,train,recall,1.0
5,SVC,validation,recall,1.0
5,SVC,test,recall,1.0
5,SVC,train,f1,0.8468214378828888
5,SVC,validation,f1,0.846845912520418
5,SVC,test,f1,0.8471926304930457
5,SVC,train,roc_auc,0.5
5,SVC,validation,roc_auc,0.5
5,SVC,test,roc_auc,0.5
5,Decision Tree,train,accuracy,0.7343367850406586
5,Decision Tree,validation,accuracy,0.7343735947477291
5,Decision Tree,test,accuracy,0.7348952243906827
5,Decision Tree,train,precision,0.7343367850406586
5,Decision Tree,validation,precision,0.7343735947477291
5,Decision Tree,test,precision,0.7348952243906827
5,Decision Tree,train,recall,1.0
5,Decision Tree,validation,recall,1.0
5,Decision Tree,test,recall,1.0
5,Decision Tree,train,f1,0.8468214378828888
5,Decision Tree,validation,f1,0.846845912520418
5,Decision Tree,test,f1,0.8471926304930457
5,Decision Tree,train,roc_auc,0.5
5,Decision Tree,validation,roc_auc,0.5
5,Decision Tree,test,roc_auc,0.5
5,Random Forest,train,accuracy,0.7343367850406586
5,Random Forest,validation,accuracy,0.7343735947477291
5,Random Forest,test,accuracy,0.7348952243906827
5,Random Forest,train,precision,0.7343367850406586
5,Random Forest,validation,precision,0.7343735947477291
5,Random Forest,test,precision,0.7348952243906827
5,Random Forest,train,recall,1.0
5,Random Forest,validation,recall,1.0
5,Random Forest,test,recall,1.0
5,Random Forest,train,f1,0.8468214378828888
5,Random Forest,validation,f1,0.846845912520418
5,Random Forest,test,f1,0.8471926304930457
5,Random Forest,train,roc_auc,0.5
5,Random Forest,validation,roc_auc,0.5
5,Random Forest,test,roc_auc,0.5
5,Voting,train,accuracy,0.7343367850406586
5,Voting,validation,accuracy,0.7343735947477291
5,Voting,test,accuracy,0.7348952243906827
5,Voting,train,precision,0.7343367850406586
5,Voting,validation,precision,0.7343735947477291
5,Voting,test,precision,0.7348952243906827
5,Voting,train,recall,1.0
5,Voting,validation,recall,1.0
5,Voting,test,recall,1.0
5,Voting,train,f1,0.8468214378828888
5,Voting,validation,f1,0.846845912520418
5,Voting,test,f1,0.8471926304930457
5,Voting,train,roc_auc,0.5
5,Voting,validation,roc_auc,0.5
5,Voting,test,roc_auc,0.5
5,AdaBoost,train,accuracy,0.7343367850406586
5,AdaBoost,validation,accuracy,0.7343735947477291
5,AdaBoost,test,accuracy,0.7348952243906827
5,AdaBoost,train,precision,0.7343367850406586
5,AdaBoost,validation,precision,0.7343735947477291
5,AdaBoost,test,precision,0.7348952243906827
5,AdaBoost,train,recall,1.0
5,AdaBoost,validation,recall,1.0
5,AdaBoost,test,recall,1.0
5,AdaBoost,train,f1,0.8468214378828888
5,AdaBoost,validation,f1,0.846845912520418
5,AdaBoost,test,f1,0.8471926304930457
5,AdaBoost,train,roc_auc,0.5
5,AdaBoost,validation,roc_auc,0.5
5,AdaBoost,test,roc_auc,0.5
6,Logistic,train,accuracy,0.7343367850406586
6,Logistic,validation,accuracy,0.7343735947477291
6,Logistic,test,accuracy,0.7348952243906827
6,Logistic,train,precision,0.7343367850406586
6,Logistic,validation,precision,0.7343735947477291
6,Logistic,test,precision,0.7348952243906827
6,Logistic,train,recall,1.0
6,Logistic,validation,recall,1.0
6,Logistic,test,recall,1.0
6,Logistic,train,f1,0.8468214378828888
6,Logistic,validation,f1,0.846845912520418
6,Logistic,test,f1,0.8471926304930457
6,Logistic,train,roc_auc,0.5
6,Logistic,validation,roc_auc,0.5
6,Logistic,test,roc_auc,0.5
6,SVC,train,accuracy,0.7343367850406586
6,SVC,validation,accuracy,0.7343735947477291
6,SVC,test,accuracy,0.7348952243906827
6,SVC,train,precision,0.7343367850406586
6,SVC,validation,precision,0.7343735947477291
6,SVC,test,precision,0.7348952243906827
6,SVC,train,recall,1.0
6,SVC,validation,recall,1.0
6,SVC,test,recall,1.0
6,SVC,train,f1,0.8468214378828888
6,SVC,validation,f1,0.846845912520418
6,SVC,test,f1,0.8471926304930457
6,SVC,train,roc_auc,0.5
6,SVC,validation,roc_auc,0.5
6,SVC,test,roc_auc,0.5
6,Decision Tree,train,accuracy,0.7343367850406586
6,Decision Tree,validation,accuracy,0.7343735947477291
6,Decision Tree,test,accuracy,0.7348952243906827
6,Decision Tree,train,precision,0.7343367850406586
6,Decision Tree,validation,precision,0.7343735947477291
6,Decision Tree,test,precision,0.7348952243906827
6,Decision Tree,train,recall,1.0
6,Decision Tree,validation,recall,1.0
6,Decision Tree,test,recall,1.0
6,Decision Tree,train,f1,0.8468214378828888
6,Decision Tree,validation,f1,0.846845912520418
6,Decision Tree,test,f1,0.8471926304930457
6,Decision Tree,train,roc_auc,0.5
6,Decision Tree,validation,roc_auc,0.5
6,Decision Tree,test,roc_auc,0.5
6,Random Forest,train,accuracy,0.7343367850406586
6,Random Forest,validation,accuracy,0.7343735947477291
6,Random Forest,test,accuracy,0.7348952243906827
6,Random Forest,train,precision,0.7343367850406586
6,Random Forest,validation,precision,0.7343735947477291
6,Random Forest,test,precision,0.7348952243906827
6,Random Forest,train,recall,1.0
6,Random Forest,validation,recall,1.0
6,Random Forest,test,recall,1.0
6,Random Forest,train,f1,0.8468214378828888
6,Random Forest,validation,f1,0.846845912520418
6,Random Forest,test,f1,0.8471926304930457
6,Random Forest,train,roc_auc,0.5
6,Random Forest,validation,roc_auc,0.5
